Time_s,T_pred_s,Physical_Delay_tau_s,Theta_rad,Omega_rad_s,Control_Torque_Nm,Energetic_Cost
0.0,0.18,0.18,0.05,0.0,-1.8261071626130267,0.19173336846732997
0.01001001001001001,0.18,0.18,0.04992083512258393,-0.01582042321380058,-0.9685589867224765,0.07182622333140562
0.02002002002002002,0.18,0.18,0.04972663705980576,-0.023014745296802436,-1.6547262643730198,0.16163333483307096
0.03003003003003003,0.18,0.18,0.04942637050023792,-0.03702928618488044,-1.86765193198248,0.1988358479601624
0.04004004004004004,0.18,0.18,0.04897559629258444,-0.05311575101213881,-0.5139622904507848,0.03719395212241295
0.050050050050050046,0.18,0.18,0.048431812737680734,-0.05564319932808413,-0.10306442587914,0.02398751864466758
0.06006006006006006,0.18,0.18,0.047883197123141666,-0.05408560636070075,-0.5299695212462481,0.03697139033983529
0.07007007007007007,0.18,0.18,0.04732867790418102,-0.05682039041793883,-0.7376229567460503,0.04960441883751641
0.08008008008008008,0.18,0.18,0.046736378369558663,-0.0616402341072266,0.18840717250400796,0.02361775376357326
0.09009009009009009,0.18,0.18,0.04614208133352163,-0.05722760141513719,-0.34525976338576153,0.027251131908552852
0.10010010010010009,0.18,0.18,0.045565021724206976,-0.05818813327551591,-0.40207065564652583,0.028844752653875892
0.11011011011011011,0.18,0.18,0.04497540590105062,-0.05973845336673046,-0.26389856465896216,0.02370999398109561
0.12012012012012012,0.18,0.18,0.04437708052556347,-0.05993124508835524,-0.32770652698850333,0.025062831151266778
0.13013013013013014,0.18,0.18,0.04377350339079486,-0.060788293962595844,-0.08256212982052474,0.01950202125506435
0.14014014014014015,0.18,0.18,0.043173469227961926,-0.05922464013485881,-0.24267775390133745,0.021584109063707658
0.15015015015015015,0.18,0.18,0.04258089733486482,-0.059294419354597984,-0.36565194752728136,0.024816395514947666
0.16016016016016016,0.18,0.18,0.041981348678036406,-0.060619003240753706,-0.11543715586333164,0.018290623215959447
0.17017017017017017,0.18,0.18,0.041380932982023985,-0.05946989603636661,0.03456302322682753,0.017183546273356515
0.18018018018018017,0.18,0.18,0.04079932458443406,-0.05685861201660463,-0.15400970625566918,0.01783179834650793
