T_pred,Precision_Pi_y1,Kd_effective,Free_Energy,Stable
0.18,1.0,8.0,1.4283177922571222,True
0.18,0.9526315789473684,7.621052631578947,1.427223542252797,True
0.18,0.9052631578947369,7.242105263157895,1.4261572410030932,True
0.18,0.8578947368421053,6.863157894736842,1.4251235161803444,True
0.18,0.8105263157894737,6.484210526315789,1.4241270383086575,True
0.18,0.763157894736842,6.105263157894736,1.4235151014751268,True
0.18,0.7157894736842105,5.726315789473684,1.4250477040373977,True
0.18,0.6684210526315789,5.347368421052631,1.4282724152167965,True
0.18,0.6210526315789473,4.968421052631578,1.4326340472853498,True
0.18,0.5736842105263158,4.589473684210526,1.437943125340935,True
0.18,0.5263157894736842,4.2105263157894735,1.4442057138261986,True
0.18,0.47894736842105257,3.8315789473684205,1.4515483174565202,True
0.18,0.43157894736842106,3.4526315789473685,1.4602144576392693,True
0.18,0.38421052631578945,3.0736842105263156,1.470595673927763,True
0.18,0.33684210526315783,2.6947368421052627,1.4833321661707457,True
0.18,0.2894736842105263,2.3157894736842106,1.4994031226027367,True
0.18,0.2421052631578947,1.9368421052631577,1.5204023477644386,True
0.18,0.1947368421052631,1.5578947368421048,1.5488967151695432,True
0.18,0.1473684210526316,1.1789473684210527,1.5891795938097917,True
0.18,0.1,0.8,1.6485295971508007,True
0.13,1.0,8.0,1.4832277137074428,True
0.13,0.9526315789473684,7.621052631578947,1.50754544259706,True
0.13,0.9052631578947369,7.242105263157895,1.5371960333691888,True
0.13,0.8578947368421053,6.863157894736842,1.5719664413887293,True
0.13,0.8105263157894737,6.484210526315789,1.6118982229529215,True
0.13,0.763157894736842,6.105263157894736,1.6593088798612405,True
0.13,0.7157894736842105,5.726315789473684,1.7225128874341635,True
0.13,0.6684210526315789,5.347368421052631,1.8136265638537235,True
0.13,0.6210526315789473,4.968421052631578,1.9369300558285487,True
0.13,0.5736842105263158,4.589473684210526,2.0978190603028355,True
0.13,0.5263157894736842,4.2105263157894735,2.306254201178002,True
0.13,0.47894736842105257,3.8315789473684205,2.5786298567682118,True
0.13,0.43157894736842106,3.4526315789473685,2.9411419671271144,True
0.13,0.38421052631578945,3.0736842105263156,3.4356708961277223,True
0.13,0.33684210526315783,2.6947368421052627,4.129787025675908,True
0.13,0.2894736842105263,2.3157894736842106,5.1335599267905545,True
0.13,0.2421052631578947,1.9368421052631577,6.626535995981667,True
0.13,0.1947368421052631,1.5578947368421048,8.89921608865139,True
0.13,0.1473684210526316,1.1789473684210527,12.413572616083055,True
0.13,0.1,0.8,17.8915008753968,True
