chi_kappa,L,P_counter,Cobb_baseline,Cobb_angle,D_geo,S_proprio,R_deficit
0.01,0.25,0.007568527732315109,0.44995250354508715,0.44995250354508715,0.02648346811213926,0.14950709062308723,0.05062320255696528
0.01473684210526316,0.25,0.01643691341311648,0.44995250354508715,0.44995250354508715,0.03902826879683682,0.14950709062308723,0.10994069474975292
0.019473684210526317,0.25,0.028701702120607728,0.44995250354508715,0.44995250354508715,0.05157306948153436,0.14950709062308723,0.1919755243780762
0.024210526315789474,0.25,0.04436289385478885,0.44995250354508715,0.44995250354508715,0.0641178701662319,0.14950709062308723,0.29672769144193506
0.02894736842105263,0.25,0.06342048861565987,0.44995250354508715,0.44995250354508715,0.07666267085092945,0.14950709062308723,0.4241971959413297
0.03368421052631579,0.25,0.08587448640322076,0.44995250354508715,0.44995250354508715,0.089207471535627,0.14950709062308723,0.5743840378762599
0.03842105263157895,0.25,0.11172488721747159,0.44995250354508715,0.44995250354508715,0.10175227222032457,0.14950709062308723,0.7472882172467262
0.04315789473684211,0.25,0.14097169105841226,0.44995250354508715,0.44995250354508715,0.1142970729050221,0.14950709062308723,0.9429097340527278
0.04789473684210527,0.25,0.1736148979260428,0.44995250354508715,0.8127235335256648,0.12684187358971966,0.14950709062308723,1.161248588294265
0.052631578947368425,0.25,0.2096545078203632,0.44995250354508715,1.355042718226382,0.1393866742744172,0.14950709062308723,1.402304779971338
0.05736842105263158,0.25,0.24909052074137356,0.44995250354508715,1.9484705171920877,0.15193147495911474,0.14950709062308723,1.6660783090839466
0.06210526315789474,0.25,0.2919229366890737,0.44995250354508715,2.5930069304227823,0.1644762756438123,0.14950709062308723,1.9525691756320906
0.0668421052631579,0.25,0.33815175566346384,0.44995250354508715,3.2886519579184674,0.17702107632850983,0.14950709062308723,2.261777379615771
0.07157894736842106,0.25,0.38777697766454383,0.44995250354508715,4.035405599679141,0.18956587701320737,0.14950709062308723,2.593702921034987
0.07631578947368421,0.25,0.44079860269231375,0.44995250354508715,4.833267855704803,0.20211067769790494,0.14950709062308723,2.9483457998897387
0.08105263157894736,0.25,0.49721663074677314,0.44995250354508715,5.682238725995449,0.2146554783826024,0.14950709062308723,3.3257060161800234
0.08578947368421053,0.25,0.5570310618279228,0.44995250354508715,6.58231821055109,0.22720027906729998,0.14950709062308723,3.7257835699058464
0.09052631578947369,0.25,0.6202418959357624,0.44995250354508715,7.533506309371721,0.23974507975199755,0.14950709062308723,4.148578461067205
0.09526315789473684,0.25,0.6868491330702918,0.44995250354508715,8.53580302245734,0.2522898804366951,0.14950709062308723,4.5940906896641
0.1,0.25,0.7568527732315112,0.44995250354508715,9.589208349807949,0.26483468112139263,0.14950709062308723,5.06232025569653
0.01,0.2657894736842105,0.0075685277323151124,0.4811736848510427,0.4811736848510427,0.026483468112139266,0.15605591278014938,0.04849882069497494
0.01473684210526316,0.2657894736842105,0.01643691341311648,0.4811736848510427,0.4811736848510427,0.03902826879683682,0.15605591278014938,0.10532707873922537
0.019473684210526317,0.2657894736842105,0.028701702120607728,0.4811736848510427,0.4811736848510427,0.05157306948153437,0.15605591278014938,0.1839193505025504
0.024210526315789474,0.2657894736842105,0.04436289385478885,0.4811736848510427,0.4811736848510427,0.06411787016623191,0.15605591278014938,0.28427563598495
0.02894736842105263,0.2657894736842105,0.06342048861565987,0.4811736848510427,0.4811736848510427,0.07666267085092944,0.15605591278014938,0.40639593518642425
0.03368421052631579,0.2657894736842105,0.08587448640322076,0.4811736848510427,0.4811736848510427,0.089207471535627,0.15605591278014938,0.5502802481069732
0.03842105263157895,0.2657894736842105,0.11172488721747158,0.4811736848510427,0.4811736848510427,0.10175227222032455,0.15605591278014938,0.7159285747465969
0.04315789473684211,0.2657894736842105,0.14097169105841217,0.4811736848510427,0.4811736848510427,0.11429707290502207,0.15605591278014938,0.9033409151052946
0.04789473684210527,0.2657894736842105,0.17361489792604284,0.4811736848510427,0.7518754299620103,0.12684187358971966,0.15605591278014938,1.112517269183068
0.052631578947368425,0.2657894736842105,0.20965450782036324,0.4811736848510427,1.3074875687303302,0.13938667427441723,0.15605591278014938,1.3434576369799152
0.05736842105263158,0.2657894736842105,0.24909052074137356,0.4811736848510427,1.9154610608904301,0.15193147495911474,0.15605591278014938,1.5961620184958372
0.06210526315789474,0.2657894736842105,0.2919229366890737,0.4811736848510427,2.575795906442308,0.1644762756438123,0.15605591278014938,1.8706304137308336
0.0668421052631579,0.2657894736842105,0.33815175566346384,0.4811736848510427,3.2884921053859664,0.17702107632850983,0.15605591278014938,2.166862822684905
0.07157894736842106,0.2657894736842105,0.3877769776645439,0.4811736848510427,4.053549657721404,0.1895658770132074,0.15605591278014938,2.4848592453580514
0.07631578947368421,0.2657894736842105,0.4407986026923136,0.4811736848510427,4.870968563448617,0.2021106776979049,0.15605591278014938,2.824619681750271
0.08105263157894736,0.2657894736842105,0.4972166307467732,0.4811736848510427,5.740748822567609,0.21465547838260243,0.15605591278014938,3.1861441318615653
0.08578947368421053,0.2657894736842105,0.5570310618279231,0.4811736848510427,6.662890435078385,0.22720027906730003,0.15605591278014938,3.5694325956919366
0.09052631578947369,0.2657894736842105,0.6202418959357625,0.4811736848510427,7.637393400980937,0.23974507975199758,0.15605591278014938,3.9744850732413806
