chi_kappa,L,P_counter,Cobb_angle,D_geo,S_proprio,R_deficit,In_Deficit
0.01,0.25,0.0075237005135066,0.4499525035450871,0.1056196915779136,0.0680980709777777,0.1104833133373455,False
0.01,0.3131578947368421,0.0075237005135066,0.5780487337828928,0.0843182411756453,0.0797280530953101,0.0943670417301231,False
0.01,0.3763157894736842,0.0075237005135066,0.7158508458407359,0.0701669279713412,0.0906699784060673,0.0829789600236978,False
0.01,0.4394736842105263,0.0075237005135066,0.8653163284890443,0.0600830580832442,0.1010717571092935,0.0744391977411739,False
0.01,0.5026315789473685,0.0075237005135066,1.0284026704982454,0.0525333544497475,0.1110328898024088,0.0677610078139511,False
0.0289473684210526,0.25,0.0630448588735664,0.4499525035450871,0.3057412124623815,0.0680980709777777,0.9257950771342668,False
0.0289473684210526,0.3131578947368421,0.0630448588735664,0.5780487337828928,0.2440791191926574,0.0797280530953101,0.7907487568798407,False
0.0289473684210526,0.3763157894736842,0.0630448588735664,0.7158508458407359,0.2031147914959877,0.0906699784060673,0.6953223104478835,False
0.0289473684210526,0.4394736842105263,0.0630448588735664,0.8653163284890443,0.1739246418199176,0.1010717571092935,0.6237633605735491,False
0.0289473684210526,0.5026315789473685,0.0630448588735664,1.0284026704982454,0.1520702365650588,0.1110328898024088,0.5678034588288152,False
0.0478947368421052,0.25,0.172586603746117,0.4499525035450871,0.5058627333468495,0.0680980709777777,2.534383151652517,True
0.0478947368421052,0.3131578947368421,0.1725866037461169,0.5780487337828928,0.4038399972096697,0.0797280530953101,2.1646910597427977,True
0.0478947368421052,0.3763157894736842,0.172586603746117,0.7158508458407359,0.3360626550206342,0.0906699784060673,1.9034591910145209,True
0.0478947368421052,0.4394736842105263,0.1725866037461169,0.8653163284890443,0.287766225556591,0.1010717571092935,1.7075650872428298,True
0.0478947368421052,0.5026315789473685,0.1725866037461169,1.0284026704982454,0.25160711868037,0.1110328898024088,1.5543737000203044,True
0.0668421052631579,0.25,0.3361489351311582,0.4499525035450871,0.7059842542313174,0.0680980709777777,4.936247536892095,True
0.0668421052631579,0.3131578947368421,0.3361489351311581,0.5780487337828928,0.5636008752266818,0.0797280530953101,4.216193950318993,True
0.0668421052631579,0.3763157894736842,0.3361489351311581,0.7158508458407359,0.4690105185452806,0.0906699784060673,3.707389601723607,True
0.0668421052631579,0.4394736842105263,0.336148935131158,0.8653163284890443,0.4016078092932643,0.1010717571092935,3.325844377749015,True
0.0668421052631579,0.5026315789473685,0.336148935131158,1.0284026704982454,0.3511440007956812,0.1110328898024088,3.0274717313884176,True
0.0857894736842105,0.25,0.5537318530286901,0.4499525035450871,0.9061057751157852,0.0680980709777777,8.131388232853002,True
0.0857894736842105,0.3131578947368421,0.55373185302869,0.5780487337828928,0.723361753243694,0.0797280530953101,6.945257428608428,True
0.0857894736842105,0.3763157894736842,0.5537318530286901,0.7158508458407359,0.6019583820699272,0.0906699784060673,6.107113542575147,True
0.0857894736842105,0.4394736842105263,0.5537318530286901,0.8653163284890443,0.5154493930299378,0.1010717571092935,5.4786012320921085,True
0.0857894736842105,0.5026315789473685,0.5537318530286897,1.0284026704982454,0.4506808829109924,0.1110328898024088,4.987097552933154,True
