L,P_counter,S_proprio_alpha05,S_proprio_alpha10,Cobb_angle,D_geo
0.25,0.011755782052354079,0.01947726090216902,0.016461289921925533,0.5716465196208325,0.004049630328969093
0.2603448275862069,0.012748803166502995,0.019876154059736566,0.017142446746281074,0.6035494370076881,0.004217201239133333
0.2706896551724138,0.013782081893387666,0.020267197836938457,0.01782360357063661,0.6364555599052913,0.00438477214929757
0.2810344827586207,0.014855618233008119,0.020650838145625555,0.018504760394992152,0.6704047507842682,0.00455234305946181
0.2913793103448276,0.015969412185364323,0.021027480212142492,0.019185917219347693,0.7054368721152434,0.004719913969626044
0.3017241379310345,0.017123463750456293,0.021397493592177203,0.01986707404370323,0.7417438111037697,0.004887484879790284
0.3120689655172414,0.01831777292828405,0.0217612164178036,0.02054823086805877,0.7794076597621059,0.005055055789954527
0.3224137931034483,0.019552339718847556,0.022118959015688455,0.021229387692414312,0.8183085161788544,0.005222626700118763
0.33275862068965517,0.020827164122146826,0.02247100700665028,0.02191054451676985,0.8584873861360618,0.005390197610282998
0.3431034482758621,0.022142246138181883,0.02281762397464176,0.02259170134112539,0.8999852754157761,0.005557768520447238
0.35344827586206895,0.02349758576695268,0.023159053776080032,0.023272858165480925,0.9428431898000429,0.005725339430611476
0.36379310344827587,0.02489318300845926,0.023495522547042604,0.02395401498983647,0.9871021350709099,0.005892910340775713
0.3741379310344828,0.026329037862701608,0.023827240455281597,0.024635171814192006,1.0358946589913725,0.006060481250939952
0.3844827586206897,0.02780515032967973,0.02415440323562204,0.025316328638547544,1.0953744785151684,0.00622805216110419
0.39482758620689656,0.029321520409393592,0.02447719354060528,0.025997485462903085,1.1573773720207159,0.006395623071268429
0.4051724137931035,0.030878148101843243,0.024795782132844075,0.02667864228725863,1.22197122490663,0.006563193981432672
0.41551724137931034,0.03247503340702864,0.025110328941188524,0.02735979911161416,1.2892239225715196,0.006730764891596906
0.42586206896551726,0.034112176324949825,0.025420983999245788,0.028040955935969704,1.359203350414,0.006898335801761146
0.4362068965517242,0.035789576855606776,0.025727888281884524,0.02872211276032524,1.4319773938326814,0.00706590671192539
0.4465517241379311,0.03750723499899947,0.02603117445295835,0.029403269584680786,1.5076139382261755,0.007233477622089623
0.45689655172413796,0.03926515075512795,0.026330967535500325,0.03008442640903632,1.5861808689930965,0.007401048532253864
0.4672413793103449,0.04106332412399222,0.026627385513992775,0.030765583233391864,1.6677460715320551,0.0075686194424181025
0.47758620689655173,0.042901755105592215,0.026920539876941787,0.031446740057747405,1.7523774312416633,0.007736190352582339
0.48793103448275865,0.04478044369992799,0.027210536106832463,0.03212789688210294,1.840142833520535,0.007903761262746577
0.49827586206896557,0.04669938990699952,0.02749747412357095,0.03280905370645848,1.9311101637672807,0.008071332172910813
0.5086206896551724,0.04865859372680683,0.027781448686698726,0.03349021053081401,2.025347307380514,0.008238903083075061
0.5189655172413794,0.05065805515934992,0.028062549760969602,0.03417136735516956,2.1229221497588453,0.008406473993239296
0.5293103448275862,0.05269777420462876,0.02834086284928734,0.03485252417952509,2.2239025763008873,0.008574044903403525
0.5396551724137931,0.05477775086264337,0.02861646929649666,0.035533681003880636,2.328356472405254,0.008741615813567772
0.55,0.05689798513339375,0.028889446567086682,0.036214837828236174,2.4363517234705565,0.008909186723732008
