chi_kappa,L,P_demand,S_supply,Deficit,Deficit_Ratio,Is_Vulnerable
0.0,0.25,0.0,0.12243441302142478,-0.12243441302142478,-1.0,0
0.0,0.26,0.0,0.1248590922263047,-0.1248590922263047,-1.0,0
0.0,0.27,0.0,0.1272375743687882,-0.1272375743687882,-1.0,0
0.0,0.28,0.0,0.1295724035083433,-0.1295724035083433,-1.0,0
0.0,0.29000000000000004,0.0,0.13186589843702945,-0.13186589843702945,-1.0,0
0.0,0.3,0.0,0.1341201796534772,-0.1341201796534772,-1.0,0
0.0,0.31,0.0,0.1363371923209402,-0.1363371923209402,-1.0,0
0.0,0.32,0.0,0.13851872591687042,-0.13851872591687042,-1.0,0
0.0,0.33,0.0,0.14066643113873722,-0.14066643113873722,-1.0,0
0.0,0.34,0.0,0.1427818345203098,-0.1427818345203098,-1.0,0
0.0,0.35000000000000003,0.0,0.1448663511263439,-0.1448663511263439,-1.0,0
0.0,0.36,0.0,0.14692129562570974,-0.14692129562570974,-1.0,0
0.0,0.37,0.0,0.14894789198915584,-0.14894789198915584,-1.0,0
0.0,0.38,0.0,0.15094728201491164,-0.15094728201491164,-1.0,0
0.0,0.39,0.0,0.15292053285077611,-0.15292053285077611,-1.0,0
0.0,0.4,0.0,0.15486864365339206,-0.15486864365339206,-1.0,0
0.0,0.41000000000000003,0.0,0.1567925515026698,-0.1567925515026698,-1.0,0
0.0,0.42000000000000004,0.0,0.158693136670725,-0.158693136670725,-1.0,0
0.0,0.43000000000000005,0.0,0.16057122732939869,-0.16057122732939869,-1.0,0
0.0,0.44000000000000006,0.0,0.16242760376778778,-0.16242760376778778,-1.0,0
0.0,0.45000000000000007,0.0,0.16426300218071477,-0.16426300218071477,-1.0,0
0.0,0.4600000000000001,0.0,0.16607811808031042,-0.16607811808031042,-1.0,0
0.0,0.47000000000000003,0.0,0.16787360937554646,-0.16787360937554646,-1.0,0
0.0,0.48000000000000004,0.0,0.16965009915838422,-0.16965009915838422,-1.0,0
0.0,0.49000000000000005,0.0,0.17140817822999468,-0.17140817822999468,-1.0,0
0.0,0.5,0.0,0.173148407396088,-0.173148407396088,-1.0,0
0.0,0.51,0.0,0.174871319556632,-0.174871319556632,-1.0,0
0.0,0.52,0.0,0.1765774216120332,-0.1765774216120332,-1.0,0
0.0,0.53,0.0,0.17826719620510603,-0.17826719620510603,-1.0,0
0.0,0.54,0.0,0.17994110331579552,-0.17994110331579552,-1.0,0
0.0,0.55,0.0,0.18159958172358723,-0.18159958172358723,-1.0,0
0.01,0.25,0.0029564561454355895,0.12243441302142478,-0.1194779568759892,-0.9758527355791853,0
0.01,0.26,0.003197702966903134,0.1248590922263047,-0.12166138925940156,-0.9743895065238232,0
0.01,0.27,0.003448410448036073,0.1272375743687882,-0.12378916392075211,-0.9728978608312578,0
0.01,0.28,0.0037085785888344045,0.1295724035083433,-0.12586382491950887,-0.9713783298880027,0
0.01,0.29000000000000004,0.003978207389298132,0.13186589843702945,-0.12788769104773132,-0.96983141633697,0
0.01,0.3,0.004257296849427249,0.1341201796534772,-0.12986288280404995,-0.9682575965792268,0
0.01,0.31,0.004545846969221763,0.1363371923209402,-0.13179134535171844,-0.9666573229810927,0
0.01,0.32,0.004843857748681671,0.13851872591687042,-0.13367486816818874,-0.9650310258297594,0
0.01,0.33,0.005151329187806972,0.14066643113873722,-0.13551510195093025,-0.9633791150731172,0
0.01,0.34,0.005468261286597669,0.1427818345203098,-0.13731357323371213,-0.9617019818734726,0
0.01,0.35000000000000003,0.0057946540450537565,0.1448663511263439,-0.13907169708129016,-0.9600000000000001,0
0.01,0.36,0.006130507463175238,0.14692129562570974,-0.1407907881625345,-0.9582735270808321,0
0.01,0.37,0.006475821540962115,0.14894789198915584,-0.1424720704481937,-0.9565229057324719,0
0.01,0.38,0.006830596278414387,0.15094728201491164,-0.14411668573649725,-0.9547484645815641,0
0.01,0.39,0.007194831675532052,0.15292053285077611,-0.14572570117524405,-0.952950519191867,0
0.01,0.4,0.007568527732315114,0.15486864365339206,-0.14730011592107695,-0.9511293729074424,0
0.01,0.41000000000000003,0.007951684448763563,0.1567925515026698,-0.14884086705390623,-0.949285317621557,0
0.01,0.42000000000000004,0.008344301824877413,0.158693136670725,-0.15034883484584757,-0.947418634479504,0
0.01,0.43000000000000005,0.00874637986065665,0.16057122732939869,-0.15182484746874203,-0.9455295945224721,0
0.01,0.44000000000000006,0.009157918556101286,0.16242760376778778,-0.1532696852116865,-0.9436184592786718,0
0.01,0.45000000000000007,0.00957891791121131,0.16426300218071477,-0.15468408426950345,-0.9416854813071478,0
0.01,0.4600000000000001,0.010009377925986737,0.16607811808031042,-0.15606874015432368,-0.9397309046990374,0
0.01,0.47000000000000003,0.01044929860042755,0.16787360937554646,-0.15742431077511893,-0.9377549655404642,0
0.01,0.48000000000000004,0.010898679934533756,0.16965009915838422,-0.15875141922385047,-0.9357578923407595,0
0.01,0.49000000000000005,0.011357521928305365,0.17140817822999468,-0.16005065630168933,-0.9337399064292843,0
0.01,0.5,0.011825824581742358,0.173148407396088,-0.16132258281434564,-0.931701222323749,0
0.01,0.51,0.01230358789484475,0.174871319556632,-0.16256773166178723,-0.9296420480726101,0
0.01,0.52,0.012790811867612537,0.1765774216120332,-0.16378660974442066,-0.9275625855738463,0
0.01,0.53,0.013287496500045714,0.17826719620510603,-0.16497969970506032,-0.9254630308721649,0
0.01,0.54,0.013793641792144292,0.17994110331579552,-0.16614746152365123,-0.9233435744364836,0
0.01,0.55,0.014309247743908253,0.18159958172358723,-0.16729033397967896,-0.921204401419336,0
0.02,0.25,0.011825824581742358,0.12243441302142478,-0.11060858843968242,-0.9034109423167409,0
0.02,0.26,0.012790811867612537,0.1248590922263047,-0.11206828035869217,-0.8975580260952928,0
0.02,0.27,0.013793641792144292,0.1272375743687882,-0.1134439325766439,-0.8915914433250315,0
0.02,0.28,0.014834314355337622,0.1295724035083433,-0.11473808915300567,-0.8855133195520107,0
0.02,0.29000000000000004,0.015912829557192528,0.13186589843702945,-0.11595306887983692,-0.8793256653478803,0
0.02,0.3,0.017029187397708995,0.1341201796534772,-0.1170909922557682,-0.8730303863169073,0
0.02,0.31,0.01818338787688705,0.1363371923209402,-0.11815380444405313,-0.8666292919243705,0
