length,delay,gain,cobb_angle,max_curvature,success,runtime
0.2,0.0,0.5,13.710247949569485,308.6470231177523,True,8.231414556503296
0.2,0.02,0.5,45.262851682722086,452.2536100357247,True,6.064809799194336
0.2,0.04,0.5,112.12374805949574,428.3944697555902,True,6.360857248306274
0.2,0.06,0.5,0.686080525140764,466.8447828872232,True,5.937659025192261
0.2,0.08,0.5,16.356122297321246,403.21567799446785,True,6.014873266220093
0.2,0.1,0.5,17.67640114431923,330.5924055605276,True,5.928398370742798
0.2,0.12,0.5,20.300735807045513,413.20672621499386,True,6.73557710647583
0.2,0.14,0.5,79.3647802926775,407.8021741480143,True,6.069573402404785
0.2,0.16,0.5,46.25894398339502,404.75089076449626,True,8.889465093612671
0.3,0.0,0.5,0.32979915425439055,0.7681586920407502,True,6.58920955657959
0.3,0.02,0.5,14.233109957875023,276.6784467553469,True,5.704897165298462
0.3,0.04,0.5,47.764231575570435,264.8486947197539,True,6.657679557800293
0.3,0.06,0.5,55.24253484191691,292.7440235987509,True,5.842003583908081
0.3,0.08,0.5,76.03462260728942,275.32951391446403,True,5.701780557632446
0.3,0.1,0.5,63.77158184000349,303.31922734454423,True,5.743449926376343
0.3,0.12,0.5,88.01447710746655,279.3519960077777,True,5.7455573081970215
0.3,0.14,0.5,64.85781067483694,277.10398697389445,True,5.715596675872803
0.3,0.16,0.5,84.1498533122436,300.2072706426271,True,5.796948671340942
0.4,0.0,0.5,0.17211341212377032,0.46502222532398846,True,5.979692220687866
0.4,0.02,0.5,24.153901033370726,222.96244049647333,True,5.9111199378967285
0.4,0.04,0.5,25.221628676166638,198.05274959285362,True,5.727896213531494
0.4,0.06,0.5,35.31209160542754,189.10949882697741,True,5.654598236083984
0.4,0.08,0.5,71.95416974156502,225.97399937328183,True,5.676651239395142
0.4,0.1,0.5,27.705769792751976,223.99191054426706,True,5.635150194168091
0.4,0.12,0.5,5.557915822323301,206.48461642214534,True,5.687952041625977
0.4,0.14,0.5,83.05064654738212,215.57470134972394,True,5.622416019439697
0.4,0.16,0.5,30.031432294709766,195.6679024699989,True,5.671346426010132
0.5,0.0,0.5,0.4049120786441365,0.3739360872028562,True,5.715490341186523
0.5,0.02,0.5,26.107238476142715,165.27179846794482,True,5.687971353530884
0.5,0.04,0.5,36.60172519429284,182.61486121904343,True,7.31721043586731
0.5,0.06,0.5,27.22116939688444,168.99016937039977,True,6.60339617729187
0.5,0.08,0.5,27.639276518329925,156.29437653721382,True,5.871951341629028
0.5,0.1,0.5,28.09273817765989,180.87923430896353,True,5.985067367553711
0.5,0.12,0.5,72.77267851204918,157.94450724795786,True,6.708229303359985
0.5,0.14,0.5,92.56422023462994,179.34127914861298,True,5.649904251098633
0.5,0.16,0.5,62.03029125773863,184.5629138876108,True,5.551702499389648
