chi_kappa,avg_curvature,S_lat_sagittal,max_deflection_z
0.0,1.501058345155296,4.452400387425015,0.930312193637756
2.0,7.08214718913411,5.391095016959136,0.7774426784232522
4.0,14.025021981744773,1.9759244067214305,0.38245763146024886
6.0,23.622228192486137,1.9281786758919028,0.2680524945988628
8.0,30.66179483124959,2.4929803537795805,0.35462159014263994
10.0,37.847090016042316,2.104835725080857,0.194240539899163
12.0,47.67692730181139,2.2859113625591636,0.16361406458399957
14.0,54.72399124860187,2.4417057616247955,0.2343718221335387
16.0,61.904026209496294,1.77726257374278,0.15733389969918143
18.0,64.26882581398169,0.5143966644543665,0.14078716982636577
20.0,66.66478773483455,0.23645801633873795,0.01956411012293611
