boundary_condition,stiffness_modulation,anisotropy,active_curvature,initial_lateral_defect,radius,E0,input_anisotropy,input_active_curvature,mapped_chi_kappa,mapped_chi_tau,runtime_sec,peak_memory_mb,success,error,max_curvature,max_torsion,end_to_end_distance,S_lat,cobb_angle,z_tip,x_tip,y_tip,bending_energy,shear_energy,translational_energy,rotational_energy,gravitational_energy,energy_density,max_von_mises_stress
fixed,0.0,1.0,0.0,0.02,0.01,1000000.0,1.0,0.0,0.0,0.0,2.75407338142395,15.489236831665039,True,,1.3682329836154068,3.2822712283789053e-17,0.9985996862685974,0.00015309183545716574,0.05746808397209598,0.9984826736825008,0.00015285954518623232,0.015285954518623423,0.012997452585891828,0.00010312516021452126,9.711511448106617e-05,1.76709830044811e-08,1.5395028682351768,4939.456778328279,20544.967849140172
fixed,0.0,1.0,5.0,0.02,0.01,1000000.0,1.0,5.0,25.0,0.0,1.3303031921386719,0.11420249938964844,True,,53.839977823751596,0.023906676305539474,0.4661723734347616,0.0007723378111255185,0.06450911397117343,0.12083847016914426,0.0001486597508300101,-0.45023851876672893,1.180276484171316,0.012521545373979918,0.13037078648213377,4.0637305222718205e-05,0.1224400512138579,4604.001709298033,233363.0860363305
fixed,0.0,5.0,0.0,0.02,0.01,1000000.0,5.0,0.0,0.0,0.0,1.2877042293548584,0.09959030151367188,True,,1.368268294350098,0.0003860495049933828,0.9985988850321023,0.000727879722091578,0.20162368888872417,0.9984816198610309,0.0007267745239779958,0.015285934248216969,0.013001240670645346,0.0001031301334139125,9.714471821851704e-05,1.7692475631748578e-08,1.5395025083617095,4939.4677148159235,20576.39727802433
fixed,0.0,5.0,5.0,0.02,0.01,1000000.0,5.0,5.0,25.0,0.0,1.2884955406188965,0.09954071044921875,True,,53.83999772726466,0.03340340548190245,0.46617231400113285,0.0035116227209175265,0.020720189868932332,0.12083760238953137,0.0006759183571747985,-0.4502382073128566,1.1802777655685688,0.01252161456987266,0.1303706537269413,4.06371753078014e-05,0.12243845017337923,4604.0005215940155,233362.95369241983
fixed,0.5,1.0,0.0,0.02,0.01,1000000.0,1.0,0.0,0.0,0.0,1.2801604270935059,0.09716415405273438,True,,1.4034772097055337,1.2402063545371922e-17,0.9942868221876164,0.0001725352652881564,0.0628745177864094,0.9941388487004313,0.0001715240099937913,0.01715240099937937,0.014921612392778406,0.005357138650815486,0.0033431882213483554,2.6996167586661553e-08,1.5310310559901184,4925.237799829362,22669.05521170462
fixed,0.5,1.0,5.0,0.02,0.01,1000000.0,1.0,5.0,25.0,0.0,1.271017074584961,0.09998512268066406,True,,56.72065492819907,0.02811196402381684,0.5034823447948591,0.0008867848451522957,0.07496551519131288,0.0909711922542302,0.00016753763934146716,-0.4951956034044655,1.211521721046193,0.009252264209905246,0.09820548655773151,3.629768514420291e-05,0.0775996006091883,4449.055503537229,234214.72599249386
fixed,0.5,5.0,0.0,0.02,0.01,1000000.0,5.0,0.0,0.0,0.0,1.2725861072540283,0.09845924377441406,True,,1.4035108332868202,0.0006502616782649047,0.9942857857212674,0.0008129656444891101,0.22479863721463927,0.9941374988072653,0.0008081996324286404,0.017152374936042068,0.014925808836622166,0.005357183513044742,0.003343215333618209,2.7022321006427936e-08,1.5310305290468704,4925.249540903528,22707.220529206883
fixed,0.5,5.0,5.0,0.02,0.01,1000000.0,5.0,5.0,25.0,0.0,1.2727441787719727,0.09872245788574219,True,,56.72065986632679,0.03430518196505001,0.5034824621264832,0.004097770023258229,0.025896754704405618,0.09097044722232171,0.00077418072694056,-0.49519528273734437,1.211523922178711,0.009252334478818933,0.09820527538601437,3.629758682063007e-05,0.07759810339737065,4449.057326745293,234214.4429005049
pinned,0.0,1.0,0.0,0.02,0.01,1000000.0,1.0,0.0,0.0,0.0,1.2302947044372559,0.10039806365966797,True,,1.3772466676707915,2.0887395984964817e-17,0.9983765255067163,0.0001320446986826766,0.10552455454906062,-0.13092620982749015,0.00013183032748238397,0.013183032748239096,0.011259747944408632,8.294542762814509e-10,2.9584561113169503,3.407244834512542e-08,-1.94195130101896,3271.4765220476597,6224.842863802449
pinned,0.0,1.0,5.0,0.02,0.01,1000000.0,1.0,5.0,25.0,0.0,1.2158207893371582,0.10316944122314453,True,,46.151663980738896,0.01817696081456927,0.5638887948852218,0.0004819317253902461,0.11852462023940326,-0.4682932166304454,0.00013213258045235304,-0.22061866220292617,1.277694919895747,0.00010731334809003194,2.9728612006087283,1.9913387502543525e-05,-1.9419513010189662,7350.117160315888,149700.04908098606
pinned,0.0,5.0,0.0,0.02,0.01,1000000.0,5.0,0.0,0.0,0.0,1.2143232822418213,0.09630680084228516,True,,1.3772846980951814,0.0003887271067594587,0.9983748524455774,0.0005373886509038445,0.3584965724421593,-0.13092704635805466,0.0005365153150520537,0.01318301414326557,0.011261603929517482,8.295433894958007e-10,2.9584561373217113,3.410543103835369e-08,-1.9419513010189624,3271.482513179759,6226.151393685552
pinned,0.0,5.0,5.0,0.02,0.01,1000000.0,5.0,5.0,25.0,0.0,1.2385454177856445,0.0975656509399414,True,,46.15168669583663,0.031758623129970326,0.5638881344759058,0.0010883330102328722,0.24723646790729378,-0.4682935114438367,0.00030753811952103114,-0.22061847902680873,1.27769370715888,0.00010731342207895526,2.972861136235201,1.9913357867264198e-05,-1.9419513010189677,7350.113096106404,149699.9600197448
pinned,0.5,1.0,0.0,0.02,0.01,1000000.0,1.0,0.0,0.0,0.0,1.2387828826904297,0.09962844848632812,True,,1.4088602255411355,1.519139112994931e-17,0.9980371977870571,0.0001517972414661686,0.1171260389387815,-0.13109587368731723,0.00015149929350470018,0.01514992935047028,0.012816278825084938,9.59231454120816e-10,2.9584617252950243,4.218067559359604e-08,-1.9419513010189642,3276.45101458985,6647.676579212082
pinned,0.5,1.0,5.0,0.02,0.01,1000000.0,1.0,5.0,25.0,0.0,1.2928283214569092,0.0981607437133789,True,,50.08349531646347,0.021506078931990205,0.592429365409765,0.0007195164928035983,0.13931708755093639,-0.4859762076309627,0.00016349279013255078,-0.2479827654019401,1.264980884596709,5.174382396027483e-05,2.9656614747440364,1.978928634972269e-05,-1.941951301018969,7286.415071523107,143902.79102637453
pinned,0.5,5.0,0.0,0.02,0.01,1000000.0,5.0,0.0,0.0,0.0,1.3019845485687256,0.09992694854736328,True,,1.4088952249997204,0.00048671395072835016,0.9980350868967017,0.0006097283189294289,0.3951236525386789,-0.13109692913249807,0.0006085302557661124,0.01514990389224526,0.012818071201516812,9.597049323695756e-10,2.9584617570689655,4.2220950029690214e-08,-1.941951301018971,3276.456824265586,6649.162811912738
pinned,0.5,5.0,5.0,0.02,0.01,1000000.0,5.0,5.0,25.0,0.0,1.230837106704712,0.10379886627197266,True,,50.08350745347713,0.0341687759954953,0.5924286961657934,0.0014754372063611066,0.265870868366358,-0.4859763722258529,0.00035339996491084676,-0.24798249145169468,1.2649800338934465,5.174377847541032e-05,2.965661448178229,1.9789256317217163e-05,-1.9419513010189717,7286.412278359619,143902.65733184497
