bc,anisotropy,chi_kappa,max_curvature,max_torsion,z_tip,y_tip,s_lat,cobb_angle,runtime_sec,memory_mb
fixed,0.5,0.0,0.0,0.0,0.4989380573843871,0.0,0.0,0.0,11.041515827178955,14.552131652832031
fixed,0.5,2.0,5.687087883022432,0.0,0.4398403733964325,0.17485272845125305,0.0,0.0,7.49508810043335,0.1337108612060547
fixed,0.5,5.0,12.528355992610948,0.0,0.2492987562401798,0.2917103569234095,0.0,0.0,6.877003908157349,0.13033103942871094
fixed,1.0,0.0,0.0,0.0,0.4989380573843871,0.0,0.0,0.0,7.569799184799194,0.1284923553466797
fixed,1.0,2.0,5.687087883022432,0.0,0.4398403733964325,0.17485272845125305,0.0,0.0,7.0293097496032715,0.12383842468261719
fixed,1.0,5.0,12.528355992610948,0.0,0.2492987562401798,0.2917103569234095,0.0,0.0,7.016509771347046,0.1295490264892578
fixed,5.0,0.0,0.0,0.0,0.4989380573843871,0.0,0.0,0.0,8.334654331207275,0.1297893524169922
fixed,5.0,2.0,5.687087883022432,0.0,0.4398403733964325,0.17485272845125305,0.0,0.0,7.0249011516571045,0.129302978515625
fixed,5.0,5.0,12.528355992610948,0.0,0.2492987562401798,0.2917103569234095,0.0,0.0,7.155203104019165,0.123443603515625
fixed,10.0,0.0,0.0,0.0,0.4989380573843871,0.0,0.0,0.0,6.8752710819244385,0.1248321533203125
fixed,10.0,2.0,5.687087883022432,0.0,0.4398403733964325,0.17485272845125305,0.0,0.0,7.646522283554077,0.12477397918701172
fixed,10.0,5.0,12.528355992610948,0.0,0.2492987562401798,0.2917103569234095,0.0,0.0,12.594845056533813,0.12472057342529297
pinned,0.5,0.0,0.0,0.0,0.4989380573843871,0.0,0.0,0.0,13.881335020065308,0.1262979507446289
pinned,0.5,2.0,11.91603827275278,0.0,0.38273224247678217,-0.07277766996450986,0.0,0.0,7.124173641204834,0.12762737274169922
pinned,0.5,5.0,20.621709710909773,0.0,0.25475743399208906,-0.030046016732372872,0.0,0.0,6.988693952560425,0.123504638671875
pinned,1.0,0.0,0.0,0.0,0.4989380573843871,0.0,0.0,0.0,6.604055643081665,0.1270456314086914
pinned,1.0,2.0,11.91603827275278,0.0,0.38273224247678217,-0.07277766996450986,0.0,0.0,7.216652870178223,0.12427616119384766
pinned,1.0,5.0,20.621709710909773,0.0,0.25475743399208906,-0.030046016732372872,0.0,0.0,6.593603849411011,0.1257648468017578
pinned,5.0,0.0,0.0,0.0,0.4989380573843871,0.0,0.0,0.0,7.647998094558716,0.12639331817626953
pinned,5.0,2.0,11.91603827275278,0.0,0.38273224247678217,-0.07277766996450986,0.0,0.0,8.669222593307495,0.12809085845947266
pinned,5.0,5.0,20.621709710909773,0.0,0.25475743399208906,-0.030046016732372872,0.0,0.0,12.876433372497559,0.12311458587646484
pinned,10.0,0.0,0.0,0.0,0.4989380573843871,0.0,0.0,0.0,6.998159885406494,0.12407398223876953
pinned,10.0,2.0,11.91603827275278,0.0,0.38273224247678217,-0.07277766996450986,0.0,0.0,7.49048376083374,0.12540245056152344
pinned,10.0,5.0,20.621709710909773,0.0,0.25475743399208906,-0.030046016732372872,0.0,0.0,9.230851173400879,0.12430095672607422
