lifestyle,cycles,type,eta_p_cost,eta_a_cost,gamma_m_cost,total_cost
Chair Sitter,3,Shallow,788722.2135420738,2376.2995267940432,4796.523034256643,795895.0361031245
Floor Sitter,50,Deep,33247380.967417844,74845.99735894967,149631.84824383163,33471858.813020624
