tilt_angle_deg,tip_sag,tip_axial_shortening
0,0.03014879720185066,1.2373517361454396
15,0.089986838645703,1.2318925871091406
30,0.13831973636640638,1.2060588437697928
45,0.180982981031469,1.1707382832115458
60,0.21508693943605786,1.1264459835783112
75,0.2370629261203786,1.0824637930630978
90,0.2501437066821457,1.0367630736163163
