timestamp,k,omega,speed,chi_0,amplitude,cobb_angle,max_curvature,S_lat,U_CC,U_info,runtime_sec
2026-03-09T18:24:35.380139,0.0,0.0,0.0,10.0,0.1,42.145,238.2397,0.3633,43.9055,0.8805,25.206
2026-03-09T18:24:52.226589,0.0,0.0,1.0,10.0,0.1,42.145,238.2397,0.3633,43.9055,0.8805,16.846
2026-03-09T18:25:09.061896,6.28,0.0,0.0,10.0,0.1,58.0959,248.2617,0.8605,35.723,2.3123,16.835
2026-03-09T18:25:42.925302,6.28,6.28,1.0,10.0,0.1,52.7946,241.0305,0.5419,48.7244,3.0454,33.863
