chi_E,chi_kappa,tip_deflection_z,peak_to_trough
0.0,5.0,-0.03810913192856576,0.05670638099466603
2.0,5.0,-0.020544257286250946,0.034660597336446546
4.0,5.0,-0.0049627130994372125,0.01805944391068018
6.0,5.0,-0.0021872637314516627,0.015628564210566305
8.0,5.0,0.0024963388978964007,0.016056418949949157
10.0,5.0,-0.011914277725995154,0.020035022024741386
15.0,5.0,-0.0067015517418721835,0.014403791285821824
20.0,5.0,-0.002865369618424196,0.009266056597921053
